Serial Number,Title,Organisation,Closing Date,Link
1,[Hydraulic Shearing Machine.],Bharat Heavy Electricals Limited||TP-Jhansi,18-Sep-2025 01:15 PM,https://eprocurebhel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SG32igFnQT6nA%2FSMblbkl%2Fw%3D%3D
2,"[Balance Civil, Structural and Architectural works for entire Power Block Area (T-Yard to FGD up to Chimney Raft) at 1x800 MW NTPC Sipat, Chhattisgarh.]",Bharat Heavy Electricals Limited||Central Procurement Cell,15-Sep-2025 10:00 AM,https://eprocurebhel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SvAk6o9yR4mD2VcijNKfMGA%3D%3D
3,[K6A1Y22622-BREATHER FOR DCGB],Bharat Heavy Electricals Limited||HPEP - Hyderabad||Steam Turbine||Common Section,10-Sep-2025 10:00 AM,https://eprocurebhel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SGOK4bODSGr8P%2BSsXlkyU0g%3D%3D
4,"[Providing 2 Nos 20MT or above capacity Tower Crane on monthly rental basis at BHEL-PSER 2X800 MW Lara super thermal power plant project, Stage II, Raigarh, Chhattisgarh]",Bharat Heavy Electricals Limited||PSER||Subcontracts||SCT||SCT,10-Sep-2025 01:00 PM,https://eprocurebhel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SRilr8XzGXIvcSGBRThTQCw%3D%3D
5,[	 Transformer Lamination Cut to Length Line],Bharat Heavy Electricals Limited||HEP - Bhopal||MOD||589 - Modernisation Schemes,09-Sep-2025 03:00 PM,https://eprocurebhel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SaYcrnOZFIWDdBYU7itAcDQ%3D%3D
6,[Supply of Pallet Spares for BFW Machines],Bharat Heavy Electricals Limited||HPEP - Hyderabad||CMM,13-Sep-2025 11:00 AM,https://eprocurebhel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=Sh6bocNrgYzM9Z6q78rXy1Q%3D%3D
7,[Supply of 400 kV and Below Ratings Bus Post Insulators for various Powergrid projects],Bharat Heavy Electricals Limited||TBG NOIDA||TBG - Material Management,18-Sep-2025 11:00 AM,https://eprocurebhel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SMh13iVxIs3VPiTODPKgtwA%3D%3D
8,[350 Ton Aero Caster System],Bharat Heavy Electricals Limited||HEP - Bhopal||MOD||589 - Modernisation Schemes,20-Sep-2025 03:00 PM,https://eprocurebhel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SPx9JRTgN%2FIFekGJnZi1Gbw%3D%3D
9,[CRGO Electrical Steel Slitting Line Machine ],Bharat Heavy Electricals Limited||HEP - Bhopal||MOD||589 - Modernisation Schemes,15-Sep-2025 03:00 PM,https://eprocurebhel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SgIZrBZ9nw0ejiX8ubxREDw%3D%3D
10,[Tender Enquiry for entering into a Contract for Fabrication and Supply of Pressure Part Items and dispatch to respective project sites.],Bharat Heavy Electricals Limited||BHEL Trichy||OUTSOURCING/BHEL MATL,11-Sep-2025 11:00 AM,https://eprocurebhel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SVMZGHyA%2FWWf587VMjGCHiw%3D%3D
11,[SUPPLY OF Z-AXIS GUIDE WAYS AND BALL SCREW],Bharat Heavy Electricals Limited||HPEP - Hyderabad||CMM,13-Sep-2025 11:00 AM,https://eprocurebhel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S%2B0NZXuyN75KYvtQkjiBCpA%3D%3D
